,goods_id,article,name,url,regular_price,promo_price,amount,brand,store_id
1999,550107,663434,"Пряник Ясная поляна Тульский с яблоком и корицей, 140г",https://online.metro-cc.ru/products/tulskij-yabloko-korica-140-g,59.9,44.9,808,ЯСНАЯ ПОЛЯНА,11
2000,583406,109565,"RIOBA Шоколад молочный с соленой карамелью, 100г",https://online.metro-cc.ru/products/shokolad-rioba-molochnyj-s-solenoj-karamelyu-100g,132.0,-,230,RIOBA,11
2001,509464,637516,"Драже Jelly Belly классические коктейли жевательное, 70г",https://online.metro-cc.ru/products/drazhe-jelly-belly-45g,379.0,-,20,JELLY BELLY,11
2002,567239,78599,"Вафли Manner Knuspino с шоколадным кремом, 110г",https://online.metro-cc.ru/products/manner-schokolade-knuspino-110-g,119.0,109,73,MANNER,11
2003,256469,521832,"Конфеты Вдохновение мини десерты шоколадные, 165г",https://online.metro-cc.ru/products/vdohnovenie-shokoladnye-mini-deserty-165g,439.0,299,17,ВДОХНОВЕНИЕ,11
2004,311607006,206091,"Шоколад Ritter Sport вафля-какао-мусс, 100г",https://online.metro-cc.ru/products/100g-shokolad-ritter-sport-vaflyakakao-muss,149.0,139,95,RITTER SPORT,11
2005,386596,544642,"Шоколад Ritter Sport темный с мятой, 100г",https://online.metro-cc.ru/products/ritter-sport-temnyj-myata-100g,149.0,139,166,RITTER SPORT,11
2006,236424,495289,"Шоколад Ritter Sport молочный ром-изюм-орех, 100г",https://online.metro-cc.ru/products/ritter-sport-molochnyj-rom-izyum-oreh-100g,149.0,139,586,RITTER SPORT,11
2007,469559,608178,"Мармелад Chupa Chups Мини трубочки жевательный с фруктовым вкусом, 150г",https://online.metro-cc.ru/products/marmelad-chupa-chups-mini-trubochki-s-fruktovym-vkusom-150g,175.0,-,28,CHUPA CHUPS,11
2008,506042,632122,"Мармелад Fruittella Крутой микс жевательный, 70г",https://online.metro-cc.ru/products/marmelad-zhevatelnyj-fruttella-krutoj-miks-70g,78.9,-,109,FRUITTELLA,11
2009,359230,525120,"Шоколад Коммунарка Трюфельный Элит горький с трюфельной начинкой, 200г",https://online.metro-cc.ru/products/kommunarka-tryufelnyj-s-nachinkoj-200g,169.0,159,86,КОММУНАРКА,11
2010,376008,535875,"Жевательная резинка Orbit White Bubblemint (13.6г x 10шт), 136г",https://online.metro-cc.ru/products/orbit-white-bubblemint-10-136g,369.0,-,117,ORBIT,11
2011,656016,131673,"Леденцы Chupa Chups Кислорот, 12г x 100 шт",https://online.metro-cc.ru/products/12g-ledency-chupa-chups-kislorot-131673,799.0,-,12,CHUPA CHUPS,11
2012,406978,562914,"METRO Chef Тарталетки для икры из слоеного теста 100шт, 600г",https://online.metro-cc.ru/products/tartaletki-dlya-ikry-iz-sloenogo-testa-metro-chef-600-g-100-sht,449.0,-,32,METRO CHEF,11
2013,614504,120310,"Мини-сушки Семейка Озби с маком, 150г",https://online.metro-cc.ru/products/mini-s-makom-semejka-ozbi-150g,50.0,-,221,СЕМЕЙКА ОЗБИ,11
2014,557511738,217994,"Печенье Leibniz сливочное фигурки животных, 125г",https://online.metro-cc.ru/products/125g-pechene-leibniz-slivochnoe-figurki-zhivotnyh,349.0,-,10,LEIBNIZ,11
2015,574162332,218403,"Карамель Kdv Fructi Show желейная начинка ассорти, 500г",https://online.metro-cc.ru/products/500g-karamel-kdv-fructi-show-zheleynaya-nachinka-assorti,114.0,-,32,Без бренда,11
2016,438605,584472,"Жевательная резинка Orbit White XXL Bubblemint, 20г",https://online.metro-cc.ru/products/orbit-xxl-white-bubblemint-204g-584472,56.9,-,474,ORBIT,11
2017,248309,515396,"Жевательная резинка Dirol со вкусом мяты без сахара, 14г",https://online.metro-cc.ru/products/dirol-so-vkusom-myaty-136-g-515396,30.49,24.9,188,DIROL,11
2018,381461649,207504,"aro Крендель с морской солью, 130г",https://online.metro-cc.ru/products/130g-krendel-aro-s-morskoy-solyu,34.99,-,195,ARO,11
2019,421489,575136,"Леденцы Halls мёд с лимоном, 25г",https://online.metro-cc.ru/products/ledency-halls-myod-s-limonom-25g,36.49,32.9,494,HALLS,11
2020,593803,112679,"Шоколад Milka клубника со сливками, 85г",https://online.metro-cc.ru/products/shokolad-milka-klubnika-so-slivkami-85g,109.0,-,72,MILKA,11
2021,513903,640530,"Палочки Деревенские Гренки с чесноком, 100г",https://online.metro-cc.ru/products/grenki-dobrynov-palochki-s-chesnokom-100-g,107.0,-,48,ДЕРЕВЕНСКИЕ ГРЕНКИ,11
2022,574866,94343,"Жевательная резинка Mentos Pure White вкус Нежная мята, 16г",https://online.metro-cc.ru/products/art-94343,32.99,-,63,MENTOS,11
2023,566656,76591,"Жевательная резинка Mentos Pure fresh виноград, 54г",https://online.metro-cc.ru/products/mentos-pure-fresh-vinograd-54-g,145.0,-,67,MENTOS,11
2024,617582,120912,"Конфеты Anthon Berg Luxury Gold шоколадные ассорти, 200г",https://online.metro-cc.ru/products/200g-anthon-berg-shok-assorti,1309.0,-,6,ANTHON BERG,11
2025,621967,122035,"Карамель Рот Фронт клубника со сливками, 250г",https://online.metro-cc.ru/products/250g-karamel-rot-front-klubnika-so-slivkami,113.0,-,141,РОТ ФРОНТ,11
2026,199422,469136,"Жевательная резинка Dirol Арбузно-дынный коктейль, 14г",https://online.metro-cc.ru/products/dirol-arbuzno-dynnyj-koktejl-136g-469136,30.49,24.9,224,DIROL,11
2027,613946,119399,"Драже Skittles Фруктовый вкус, 140г",https://online.metro-cc.ru/products/drazhe-skittles-frukty-140g,137.0,-,51,SKITTLES,11
2028,412412,567224,"Шоколад Bucheron горький с миндалем, клюквой и фисташками 72% какао, 100г",https://online.metro-cc.ru/products/bucheron-gorkij-s-mindalem-klyukvoj-fistashkami-72-kakao-100g,247.0,199,163,BUCHERON,11
2029,566596,76590,"Жевательная резинка Mentos Pure fresh арбуз, 54г",https://online.metro-cc.ru/products/mentos-pure-fresh-arbuz-54g,145.0,-,65,MENTOS,11
2030,177614138,203570,"Шоколад Villars молочный 32%, 100г",https://online.metro-cc.ru/products/100g-shokolad-villars-molochnyy-32,389.0,-,20,VILLARS,11
2031,218245,407344,"Карамель Рот Фронт Гусиные лапки, 250г",https://online.metro-cc.ru/products/250g-karamel-gusinye-lapki,143.0,-,80,РОТ ФРОНТ,11
2032,9822864,136176,"Шоколад Степ с начинкой Арахис и карамель, 90г",https://online.metro-cc.ru/products/90g-shokolad-step-s-nachinkoy-arahis-i-karamel,46.9,-,43,СТЕП,11
2033,421668,576911,"Мармелад Fruittella Медвежата, 150г",https://online.metro-cc.ru/products/marmelad-fruittella-medvezhata-150g,130.0,-,76,FRUITTELLA,11
