,goods_id,article,name,url,regular_price,promo_price,amount,brand,store_id
807,653361,130722,"Шоколад Красный Октябрь Аленка с начинкой Тройной десерт, 85г",https://online.metro-cc.ru/products/85g-alyonka-trojnoj-desert,129.0,99.9,105,АЛЕНКА,15
808,614981,119148,"Пишмание Вкуснотория классическое, 136г",https://online.metro-cc.ru/products/pishmanie-klassicheskoe-vkusnotoria-136-g,267.0,-,27,ВКУСНОТОРИЯ,15
809,607352110,237797,"Хлебцы овсяные Baker House цельнозерновые с луком, 90г",https://online.metro-cc.ru/products/90g-hlebtsy-baker-house-ovsyanye-tselnozernovye-s-lukom,133.0,-,19,BAKER HOUSE,15
810,607444217,240738,"Кекс Kuchenmeister штоллен постный, 500г",https://online.metro-cc.ru/products/keks-kuchenmeister-shtollen-postnyy-500g,689.0,-,99,KUCHENMEISTER,15
811,604999430,233595,"Конфеты шоколадные Ameri ракушки с начинкой пралине, 125г",https://online.metro-cc.ru/products/konfety-shokoladnye-ameri-rakushki-s-nachinkoy-praline-125g,399.0,349,27,AMERI,15
812,596085088,224961,"Начос Carambas сметана-лук, 150г",https://online.metro-cc.ru/products/150g-nachos-carambas-smetanaluk,124.0,-,37,CARAMBAS,15
813,605000170,233505,"Мармелад жевательный Fruittella Супер бутылочки, 100г",https://online.metro-cc.ru/products/marmelad-zhevatelnyy-fruittella-super-butylochki-100g,121.0,-,62,FRUITTELLA,15
814,646217,128517,"Сухарики Хрусteam ржаные буженина-горчица, 60г",https://online.metro-cc.ru/products/hrusteam-rzhanye-buzhenina-gorchica-60g,63.9,-,147,ХРУСTEAM,15
815,566714133,218674,"Батончик Goodmix соленая карамель, 44г",https://online.metro-cc.ru/products/44g-batonchik-goodmix-solenaya-karamel,44.99,42.9,15,GOODMIX,15
816,3715886,134761,"Соломка картофельная Pomsticks морская соль-перец, 100г",https://online.metro-cc.ru/products/100g-kartof-solomka-pomsticks-morsolperets,94.9,89.9,27,POMSTICKS,15
817,523217,646406,"Икра леща Ловим&Вялим вяленая, 35г",https://online.metro-cc.ru/products/lesch-lovim-vyalim-ikra-vyalenaya-35-g,85.9,-,71,ЛОВИМ&ВЯЛИМ,15
818,637125,123273,"aro Сушки Малютка с маком, 350г",https://online.metro-cc.ru/products/350g-aro-malyutka-s-makom,66.9,-,92,ARO,15
819,402659,558255,"Чипсы Хрустящий картофель в ломтиках с солью, 70г",https://online.metro-cc.ru/products/hrustyaschij-kartofel-v-lomtikah-s-solyu-70g,65.9,-,35,ХРУСТЯЩИЙ КАРТОФЕЛЬ,15
